,highly_variable
MIR1302-2HG,False
FAM138A,False
OR4F5,False
AL627309.1,False
AL627309.3,False
AL627309.2,False
AL627309.5,False
AL627309.4,False
AP006222.2,False
AL732372.1,False
OR4F29,False
AC114498.1,False
OR4F16,False
AL669831.2,False
LINC01409,False
FAM87B,False
LINC01128,False
LINC00115,False
FAM41C,False
AL645608.6,False
AL645608.2,False
AL645608.4,False
LINC02593,False
SAMD11,False
NOC2L,False
KLHL17,False
PLEKHN1,False
PERM1,False
AL645608.7,False
HES4,False
ISG15,False
AL645608.1,False
AGRN,False
AL645608.5,False
AL645608.8,False
RNF223,False
C1orf159,False
AL390719.3,False
LINC01342,False
AL390719.2,False
TTLL10-AS1,False
TTLL10,False
TNFRSF18,True
TNFRSF4,False
SDF4,False
B3GALT6,False
C1QTNF12,False
AL162741.1,False
UBE2J2,False
LINC01786,False
SCNN1D,False
ACAP3,False
PUSL1,False
INTS11,False
AL139287.1,False
CPTP,False
TAS1R3,False
DVL1,False
MXRA8,False
AURKAIP1,False
CCNL2,False
MRPL20-AS1,False
MRPL20,False
AL391244.2,False
ANKRD65,False
AL391244.1,False
TMEM88B,False
LINC01770,False
VWA1,False
ATAD3C,False
ATAD3B,False
ATAD3A,False
TMEM240,False
SSU72,False
AL645728.1,False
FNDC10,False
AL691432.4,False
AL691432.2,False
MIB2,False
MMP23B,False
CDK11B,False
FO704657.1,False
SLC35E2B,False
CDK11A,False
SLC35E2A,False
NADK,False
GNB1,False
AL109917.1,False
CALML6,False
TMEM52,False
CFAP74,False
AL391845.2,True
GABRD,False
AL391845.1,False
PRKCZ,False
AL590822.2,False
PRKCZ-AS1,False
FAAP20,False
AL590822.1,False
SKI,False
AL590822.3,False
MORN1,False
AL589739.1,False
AL513477.2,False
RER1,False
PEX10,False
PLCH2,False
AL139246.1,False
AL139246.4,False
PANK4,False
HES5,False
AL139246.5,False
TNFRSF14-AS1,False
TNFRSF14,False
AL139246.3,False
PRXL2B,False
MMEL1,False
AL831784.1,False
TTC34,False
AC242022.2,False
AC242022.1,False
AL592464.2,False
AL592464.3,False
AL592464.1,False
AL589702.1,False
ACTRT2,False
PRDM16-DT,False
PRDM16,True
AL008733.1,False
AL590438.1,False
AL354743.2,False
AL354743.1,False
ARHGEF16,False
AL512413.1,False
MEGF6,True
AL513320.1,False
TPRG1L,False
WRAP73,False
TP73,False
AL136528.1,False
AL136528.2,False
CCDC27,False
SMIM1,False
LRRC47,False
AL365330.1,False
CEP104,False
DFFB,False
C1orf174,False
LINC01134,False
LINC01346,False
LINC01345,False
LINC02780,False
AL805961.1,False
LINC01777,False
AL355602.1,False
Z98747.1,False
LINC01646,False
AJAP1,True
Z98886.1,False
BX005132.1,False
LINC02781,False
