,0,1,2,3,4,5,6,7,8,9
0,DPYD,IL32,LEF1,LEF1,TCF7L2,CCL5,BANK1,GNLY,CST3,PTPRS
1,VCAN,INPP4B,FHIT,NELL2,WARS,NKG7,RALGPS2,PRF1,HLA-DPA1,TCF4
2,LRMDA,IL7R,CAMK4,THEMIS,SERPINA1,GZMA,AFF3,NKG7,HLA-DRA,LINC01374
3,NEAT1,ITGB1,ANK3,CD8B,IFI30,CST7,MS4A1,CTSW,HLA-DRB1,IRF8
4,RBM47,SYNE2,INPP4B,PDE3B,CST3,CTSW,CD79A,GZMA,HLA-DPB1,ZFAT
5,CSF3R,RPS12,RPS27,CD8A,IFITM3,A2M,PAX5,CST7,CD74,FCHSD2
6,FCN1,RPS27,CCR7,CAMK4,AIF1,IL32,CD74,KLRD1,HLA-DQA1,CUX2
7,JAK2,ANK3,IL7R,TXK,MTSS1,PRF1,LINC00926,CD247,HLA-DRB5,PLD4
8,CD36,RORA,RPS12,CCR7,SAT1,GNLY,CD79B,SPON2,HLA-DQB1,RHEX
9,ZEB2,CAMK4,MLLT3,ABLIM1,HLA-DRA,SYNE2,IGHM,KLRF1,LGALS1,CCDC50
10,GAB2,SLFN12L,AK5,APBA2,HLA-DPA1,SYNE1,FCRL1,GZMB,NEGR1,SLC35F3
11,LYZ,TRBC2,TXK,CD7,LST1,SAMD3,BLK,IL2RB,ALCAM,IRF7
12,LRRK2,CD247,CD247,LINC02446,MARCKS,KLRG1,OSBPL10,MCTP2,HDAC9,CLEC4C
13,DMXL2,ITK,PDE3B,IL7R,HCK,TGFBR3,HLA-DRA,SYNE1,AFF3,LINC00996
14,LYST,AKT3,ITK,RPS12,MCTP1,GZMH,EBF1,FGFBP2,LYZ,LILRA4
15,IRAK3,ZEB1,PLCL1,ITK,FCER1G,PYHIN1,HLA-DQA1,CCL4,IFI30,RUNX2
16,AOAH,MAF,AC139720.1,ITGA6,DUSP6,TRGC2,ADAM28,NCALD,CCSER1,ITM2C
17,S100A9,TRBC1,ITGA6,KLRK1,CSF1R,PPP2R2B,HLA-DRB1,CD7,CPVL,UGCG
18,AC020916.1,PATJ,ABLIM1,NR3C2,CD74,KLRD1,SEL1L3,PYHIN1,RTN1,AUTS2
19,MNDA,EPHA4,MAL,NRCAM,HLA-DRB1,NCALD,CD22,TRDC,CIITA,P2RY14
